report_name,drive_createdTime,drive_modifiedTime,md5Checksum,0,1,2,3,4,5,6,7,8,9
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026,2026-02-24T19:17:49.385Z,2026-02-24T19:12:00.000Z,0f705dd62e461ed2369c6403a9a5d730,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,231,219.18","425,146,544.83",3 45.31,"440,622.40","$153,599,207.63",55.7%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026,2026-02-24T19:13:54.634Z,2026-02-24T14:12:12.000Z,6a3f3eb1b12865101a9cf561b3f64c6e,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,183,126.75","409,284,078.61",3 45.93,"392,529.97","$137,736,741.41",49.6%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026,2026-02-23T19:14:52.482Z,2026-02-23T19:04:00.000Z,cdd4ba7043ae2d47e220e30d1e22684c,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,OCTUBRE,"22,580.24","4,808,967.11 2",12.97,"39,067.70","1 3,874,888.81",3 55.15,"16,487.46","$9,065,921.70",73.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,NOVIEMBRE,"37,542.48","7,442,328.46 1",98.24,"78,552.64","2 7,896,738.42",3 55.13,"41,010.16","$20,454,409.96",109.2%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,DICIEMBRE,"112,511.46","30,925,850.98 2",74.87,"354,406.65","132,780,199.63",3 74.65,"241,895.19","$101,854,348.65",215.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,ENERO*,"477,448.62","148,764,281.43 3",11.58,"988,128.25","356,101,379.11",3 60.38,"510,679.63","$207,337,097.68",107.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,FEBRERO*,"790,596.78","271,547,337.20 3",43.47,"1,183,126.75","409,284,078.61",3 45.93,"392,529.97","$137,736,741.41",49.6%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,MARZO,"1,059,744.42","386,487,203.63 3",64.70,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,ABRIL,"719,682.38","270,698,674.65 3",76.14,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,MAYO,"993,955.90","368,883,908.53 3",71.13,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,JUNIO,"835,895.82","305,608,467.41 3",65.61,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,JULIO,"598,328.08","207,482,055.79 3",46.77,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,AGOSTO,"250,780.62","79,115,994.46 3",15.48,,,#¡DIV/0!,,,0.0%
2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026,2026-02-23T19:07:57.837Z,2026-02-23T14:04:17.000Z,d728f2cf4f9cd7e62b3650d760001a18,SEPTIEMBRE,"218,246.33","66,257,690.60 3",03.59,,,#¡DIV/0!,,,0.0%
